"CAMIS";"DBA";"BORO";"BUILDING";"STREET";"ZIPCODE";"PHONE";"CUISINE DESCRIPTION";"INSPECTION DATE";"ACTION";"VIOLATION CODE";"VIOLATION DESCRIPTION";"CRITICAL FLAG";"SCORE";"GRADE";"GRADE DATE";"RECORD DATE";"INSPECTION TYPE";"Latitude";"Longitude";"Community Board";"Council District";"Census Tract";"BIN";"BBL";"NTA";"Location"
"50175835";"MEET & MEAT WILLIAMSBURG INC.";"Brooklyn";"361";"GRAHAM AVENUE";"11211";"6469227528";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.71538795023";"-73.94453783853";"301";"34";"049700";"3068607";"3027540029";"BK90";"POINT (-73.944537838532 40.715387950229)"
"50178920";"GOLDEN NIGHT RESTAURANT INC";"Queens";"136-31";"ROOSEVELT AVENUE";"11354";"9173285912";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.75985985304";"-73.82896809835";"407";"20";"087100";"4112493";"4049800014";"QN22";"POINT (-73.828968098348 40.759859853043)"
"50172221";"THWAITES FAMILY INC";"Queens";"223-01";"LINDEN BOULEVARD";"11411";"7324977257";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.69427599715";"-73.73738186323";"413";"27";"059600";"4244447";"4113240009";"QN33";"POINT (-73.737381863233 40.694275997145)"
"50159499";"SSAW BROOKLYN";"Brooklyn";"330";"SOUTH    3 STREET";"11211";"9292848421";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.70936185284";"-73.95393902359";"301";"34";"052700";"3063348";"3024370007";"BK73";"POINT (-73.953939023593 40.709361852837)"
"50157060";"MEDIUM RARE";"Manhattan";"488";"3 AVENUE";"10016";"3017757903";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.74515535636";"-73.9785450132";"106";"02";"007200";"1018502";"1008890039";"MN20";"POINT (-73.978545013197 40.745155356358)"
"50166523";"CHICKEN AND PIZZA FABENE INC.";"Bronx";"2197";"GRAND CONCOURSE";"10453";"3475959220";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.85576645999";"-73.90098321843";"205";"14";"023704";"2013759";"2031620029";"BX40";"POINT (-73.900983218431 40.855766459992)"
"50164796";"DAMBALLA";"Manhattan";"895";"BROADWAY";"10003";"9177471037";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.73892081205";"-73.98984547329";"105";"03";"005200";"1080760";"1008480015";"MN13";"POINT (-73.989845473293 40.738920812052)"
"50179963";"HACHIKAWA SUSHI";"Queens";"25-67";"FRANCIS LEWIS BOULEVARD";"11358";"7185590825";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.77329949312";"-73.79613971061";"407";"19";"101700";"4129459";"4057690001";"QN47";"POINT (-73.796139710612 40.773299493119)"
"50052956";"CITY VINEYARD";"Manhattan";"233";"WEST STREET";"10013";"6466778350";"American";"05/17/2025";"No violations were recorded at the time of this inspection.";;;"Not Applicable";"0";;;"12/15/2025";"Inter-Agency Task Force / Initial Inspection";"40.72063773974";"-74.0121070387";"101";"01";"003900";"1088459";"1001840008";"MN24";"POINT (-74.012107038703 40.720637739735)"
"41561516";"OBAO";"Manhattan";"647";"9 AVENUE";"10036";"2122458880";"Thai";"09/02/2023";"No violations were recorded at the time of this inspection.";;;"Not Applicable";;;;"12/15/2025";"Smoke-Free Air Act / Initial Inspection";"40.76056884428";"-73.99108030487";"104";"03";"012100";"1026476";"1010550130";"MN15";"POINT (-73.991080304868 40.760568844279)"
"50172847";"LA PIZZA ITALIA";"Manhattan";"493";"AMSTERDAM AVENUE";"10024";"9178990160";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.78611489346";"-73.97614479891";"107";"06";"016900";"1032124";"1012140062";"MN12";"POINT (-73.976144798913 40.78611489346)"
"50179765";"CSN 12 LLC";"Bronx";"452";"EAST  149 STREET";"10455";"6314154216";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.81534289376";"-73.9159605789";"201";"17";"004300";"2000538";"2022930053";"BX39";"POINT (-73.915960578897 40.815342893761)"
"50165998";"URBANA CAFE LLC";"Brooklyn";"1305";"53 STREET";"11219";"7866671495";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.63254739542";"-73.99405177766";"312";"44";"023800";"3138715";"3056630001";"BK88";"POINT (-73.994051777664 40.632547395415)"
"50098126";"HUMAN RESOURCES";"Manhattan";"26";"VANDERBILT AVENUE";"10017";"2128504378";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.75327695428";"-73.97775554801";"105";"04";"009400";"1035360";"1012780020";"MN17";"POINT (-73.977755548006 40.753276954279)"
"50178181";"PRET A MANGER";"Queens";;"JFK TERMINAL    8";"11430";"6464760498";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.64712057458";"-73.79071772554";;;;;;;"POINT (-73.790717725538 40.647120574578)"
"50163575";"EARTHBAR";"Manhattan";"315";"PARK AVENUE SOUTH";"10010";"7144251559";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.74060295264";"-73.98604529137";"105";"02";"006800";"1018063";"1008790081";"MN21";"POINT (-73.986045291374 40.740602952637)"
"50170012";"EMACK & BOLIO'S";"Manhattan";"389";"AMSTERDAM AVENUE";"10024";"5406233457";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.78284361932";"-73.97852921137";"107";"06";"016500";"1030267";"1011507504";"MN12";"POINT (-73.978529211366 40.782843619323)"
"50160994";"JEWEL BOX";"Manhattan";"244";"EAST HOUSTON STREET";"10002";"9176472430";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.72205104325";"-73.98570646348";"103";"02";"003002";"1075675";"1003970065";"MN22";"POINT (-73.985706463483 40.722051043248)"
"50179331";"CHIPOTLE MEXICAN GRILL #3056";"Brooklyn";"1628";"SHORE PARKWAY";"11214";"6143187413";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.59550118521";"-73.99981635955";"311";"43";"029400";"3336456";"3064910011";"BK28";"POINT (-73.99981635955 40.595501185205)"
"50150220";"FAUZIA'S HEAVENLY DELIGHTS";"Manhattan";"517";"CLAYTON ROAD";"10004";"7189305711";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.69105356361";"-74.01962370639";"101";"01";"000500";"1086421";"1000010010";"MN99";"POINT (-74.019623706393 40.691053563611)"
"50165527";"UPSIDE PIZZA";"Manhattan";"2878";"BROADWAY";"10025";"9175878888";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.80534748854";"-73.96582146727";"109";"07";"019900";"1056988";"1018830059";"MN09";"POINT (-73.965821467268 40.805347488536)"
"50177483";"PENN 33RD OPERATING LLC";"Manhattan";"325";"WEST   33 STREET";"10001";"4015622220";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.75190935974";"-73.99485677584";"104";"03";"010300";"1080469";"1007570017";"MN13";"POINT (-73.99485677584 40.751909359737)"
"41248866";"BARAKA BUFFET";"Manhattan";"2546";"FREDERICK DOUGLASS BOULEVARD";;"2124913502";"African";"09/12/2024";"Violations were cited in the following area(s).";"08A";"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.";"Not Critical";"32";;;"12/15/2025";"Cycle Inspection / Initial Inspection";"0";"0";;;;;"1";;
"50177636";"URBAN MODESTY INC.";"Queens";"25-34";"STEINWAY STREET";"11103";"7182193212";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.76755930246";"-73.91201747007";"401";"22";"014300";"4618943";"4006547503";"QN70";"POINT (-73.912017470074 40.767559302457)"
"50179547";"IKKO HIBACHI SUSHI ASIAN BISTRO";"Bronx";"3938";"EAST TREMONT AVENUE";"10465";"3476215052";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.82126602878";"-73.81855940458";"210";"13";"014400";"2080427";"2055760028";"BX52";"POINT (-73.818559404581 40.821266028784)"
"50165958";"CARPATHIAN BAKERY AND CAFE LLC";"Brooklyn";"318";"CORTELYOU ROAD";"11218";"5165890041";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.63818010687";"-73.9761582539";"312";"39";"049000";"3126676";"3053870007";"BK41";"POINT (-73.976158253899 40.638180106865)"
"50174993";"TIME OUT MARKET (MANHATTAN) LLC";"Manhattan";"124";"EAST   14 STREET";"10003";"6462956778";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.73378522069";"-73.9883921162";"103";"02";"004200";"1084306";"1005590016";"MN22";"POINT (-73.988392116202 40.733785220688)"
"50148497";"SUGARCANE BK";"Brooklyn";"238";"FLATBUSH AVENUE";"11217";"7182303954";"Caribbean";"10/28/2025";"Establishment re-opened by DOHMH.";;;"Not Applicable";"0";"Z";"10/28/2025";"12/15/2025";"Cycle Inspection / Reopening Inspection";"40.68043843927";"-73.97483793391";"306";"39";"012902";"3018609";"3009330041";"BK37";"POINT (-73.974837933912 40.680438439273)"
"50173975";"JUST SALAD 199 LAFAYETTE STREET LLC";"Manhattan";"199";"LAFAYETTE STREET";"10012";"7323004245";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.7212724026";"-73.99800138154";"102";"01";"004500";"1066733";"1004827501";"MN24";"POINT (-73.998001381544 40.721272402604)"
"50108869";"RUMBA MEXICANA SPORTS BAR";"Queens";"182-01";"JAMAICA AVENUE";"11423";"3476050028";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.70872170066";"-73.77898857117";"412";"23";"047000";"4211807";"4099000010";"QN61";"POINT (-73.778988571165 40.708721700661)"
"50179633";"HUDSON CABIN";"Manhattan";"W";"59 ST COLUMBUS CIRCLE";;"6466372137";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;;;;;;;;;
"50161387";"CASA TOSCANA";"Manhattan";"151";"WEST   34 STREET";"10001";"7186078306";;"01/01/1900";;;;"Not Applicable";;;;"12/15/2025";;"40.75050916477";"-73.98947917044";"105";"03";"010900";"1015219";"1008100001";"MN17";"POINT (-73.989479170444 40.750509164767)"
