"camis_code","establishment_name","area_name","building_code","street_name","zip_code","cuisine_description","inspection_date","action_taken","violation_code","violation_description","critical_flag","score_assigned"
"40942152","CROTON RESERVOIR TAVERN","Manhattan","","WEST   40 STREET","","American","2024-02-10","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",11
"41688234","BROOKLYN SNACKS","Brooklyn","620","ATLANTIC AVENUE","11217","Tex-Mex","2024-12-10","No violations were recorded at the time of this inspection.","","","Not Applicable",0
"50150789","LATOYA'S KITCHEN","Manhattan","2492","ADAM CLAYTON POWELL JR BOULEVARD","","Caribbean","2025-02-10","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical",29
"40397780","VIRGIL'S BBQ","Manhattan","152","WEST   44 STREET","10036","Barbecue","2024-09-09","No violations were recorded at the time of this inspection.","","","Not Applicable",0
"50086390","THE TERRACE","Manhattan","701","7 AVENUE","10036","American","2024-09-09","No violations were recorded at the time of this inspection.","","","Not Applicable",0
"50114438","ZAAB ZAAB","Queens","76-04","WOODSIDE AVENUE","11373","Thai","2025-01-07","Establishment re-closed by DOHMH.","04M","Live roaches in facility's food or non-food area.","Critical",15
"41574266","MOMOFUKU / MILK BAR","Manhattan","251","EAST   13 STREET","10003","Coffee/Tea","2024-12-10","No violations were recorded at the time of this inspection.","","","Not Applicable",0
"41539489","PICANTE PICANTE RESTAURANT","Bronx","156A","WEST  231 STREET","10463","Mexican","2025-03-01","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical",22
"41689789","EGG ROLL CHINESE RESTAURANT","Brooklyn","1772","BROADWAY","11207","Chinese","2024-09-10","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical",23
"40379580","COOPER TOWN DINER","Manhattan","339","1 AVENUE","10003","American","2022-09-08","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical",12
"41172425","EL POLLO RESTAURANT AND BAR","Staten Island","","RICHMOND ROAD","","Latin American","2023-08-02","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical",22
"50074604","HUANG MING HING","Brooklyn","380","AVENUE P","11204","Chinese","2024-06-11","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical",24
"50142322","KOWLOON CAFE","Brooklyn","2365","86 STREET","11214","Chinese","2024-12-02","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical",29
"50110002","MARAKAND","Queens","98-98","QUEENS BOULEVARD","11374","Asian/Asian Fusion","2024-10-12","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical",21
"50087917","LAS CHELITAS","Brooklyn","7312","13 AVENUE","11228","Mexican","2024-02-12","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical",8
"50086421","SUROSS THAI BISTRO","Manhattan","4131","BROADWAY","10033","Thai","2025-08-04","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical",9
"50141598","SHOW KITCHEN","Brooklyn","100","WILLOUGHBY STREET","11201","American","2024-08-08","No violations were recorded at the time of this inspection.","","","Not Applicable",0
"50102461","BAJIBAJI","Manhattan","145","1 AVENUE","10003","Chinese","2024-12-07","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical",27
"50122601","FISH WITH YOU","Queens","135-25A","40 ROAD","11354","Seafood","2023-10-10","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical",21
"50063834","AVIATOR GRILL AT INTREPID","Manhattan","1","INTREPID SQUARE","","American","2022-09-06","Violations were cited in the following area(s).","04L","Evidence of mice or live mice present in facility's food and/or non-food areas.","Critical",30
"40837042","MALECON RESTAURANT","Bronx","","BROADWAY","","Latin American","2022-12-12","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical",23
"50106949","GUIRA & TAMBORA","Manhattan","2531","FREDERICK DOUGLASS BOULEVARD","","Caribbean","2023-03-01","Violations were cited in the following area(s).","06E","Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.","Critical",27
"50115119","JANNAT ADEN RESTAURANT","Bronx","2620","AVENUE Z","","Middle Eastern","2024-07-03","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical",26
"41629759","PL LOUNGE RESTAURANT","Queens","","65 STREET","","Latin American","2023-07-04","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical",13
"50130805","METRO MARCHE","Manhattan","30","WEST   57 STREET","10019","American","2025-01-07","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical",27
"50106489","BITES OF XI'AN","Manhattan","84","EAST   10 STREET","10003","Chinese","2025-03-02","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical",26
"50132315","CHINA EXPRESS","Brooklyn","4106","AVENUE D","11203","Chinese","2023-03-08","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical",29
"50002425","CIBO MARKET","Queens","","JFK INTERNATIONAL AIRPORT","11430","American","2016-07-12","No violations were recorded at the time of this inspection.","","","Not Applicable",0
"50000705","ANARKALI","Brooklyn","1125","CHURCH AVENUE","11218","Indian","2023-12-04","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical",17
"50162232","NIGHTINGALE","Manhattan","37","CARMINE STREET","10014","New American","2025-01-12","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical",4
"50063834","AVIATOR GRILL AT INTREPID","Manhattan","1","INTREPID SQUARE","","American","2022-09-06","Violations were cited in the following area(s).","10H","Proper sanitization not provided for utensil ware washing operation.","Not Critical",30
"50098149","CAVA","Manhattan","63","WALL STREET","10005","Mediterranean","2022-11-05","Violations were cited in the following area(s).","02B","Hot food item not held at or above 140º F.","Critical",11
"41265902","VAN CORTLANDT GOLF COURSE","Bronx","0","VAM CORTLANDT PARK SOUTH","","American","2024-11-10","Violations were cited in the following area(s).","06F","Wiping cloths not stored clean and dry, or in a sanitizing solution, between uses.","Critical",13
"50076774","PELICANA CHICKEN","Brooklyn","941","MANHATTAN AVENUE","11222","Korean","2024-11-09","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical",73
"50036225","GG TOKYO","Manhattan","124","EAST   28 STREET","10016","Japanese","2022-07-11","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical",35
"41441583","KAPAMILYA","Queens","69-10","ROOSEVELT AVENUE","11377","Filipino","2025-09-08","No violations were recorded at the time of this inspection.","","","Not Applicable",0
"50142785","LAGOS TSQ","Manhattan","727","7 AVENUE","10019","African","2024-09-09","No violations were recorded at the time of this inspection.","","","Not Applicable",0
"50102205","CHUNG CHING","Bronx","26266","ALEXANDER AVENUE","","Chinese","2024-01-02","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical",23
"50049320","ICHIRAN NY","Brooklyn","","JOHNSON AVENUE","","Japanese","2024-07-11","Violations were cited in the following area(s).","09B","Thawing procedure improper.","Not Critical",10
"41194745","GOLDEN PALACE GOURMET","Queens","14009","CHERRRY AVENUE","","Chinese","2023-10-05","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical",34
