"CAMIS","DBA","BORO","BUILDING","STREET","ZIPCODE","PHONE","CUISINE DESCRIPTION","INSPECTION DATE","ACTION","VIOLATION CODE","VIOLATION DESCRIPTION","CRITICAL FLAG","SCORE","GRADE","GRADE DATE","RECORD DATE","INSPECTION TYPE","Latitude","Longitude","Community Board","Council District","Census Tract","BIN","BBL","NTA","Location"
"50113228","SANDY JACK'S","Brooklyn","683","5 AVENUE","11215","5854741849","American","11/29/2021","Violations were cited in the following area(s).","04A","Food Protection Certificate not held by supervisor of food operations.","Critical","13","A","11/29/2021","01/02/2026","Pre-permit (Operational) / Initial Inspection","40,66157065698","-73,99317331697","307","38","014500","3017371","3008910005","BK32","POINT (-73.993173316965 40.661570656983)"
"40365904","MEE SUM CAFE","Manhattan","26","PELL STREET","10013","2123495260","Coffee/Tea","06/20/2023","Violations were cited in the following area(s).","04M","Live roaches in facility's food or non-food area.","Critical","54","C","06/20/2023","01/02/2026","Cycle Inspection / Re-inspection","40,71486062793","-73,99819997419","103","01","002900","1001782","1001630009","MN27","POINT (-73.998199974185 40.714860627928)"
"50129900","BLINTZ BOX","Manhattan","1802","65 ST TRANSVERSE",,"6466446214",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"0","0",,,,,"1",,
"41486945","REGINA'S CAFE & PIZZERIA","Queens","176-49","UNION TURNPIKE","11366","7185915727","Pizza","02/17/2023","Violations were cited in the following area(s).","08A","Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.","Not Critical","25",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,72582874498","-73,79156999763","408","24","133900","4154572","4071870054","QN41","POINT (-73.791569997631 40.725828744983)"
"41579887","UPSTATE CRAFT BEER & OYSTER BAR","Manhattan","95","1 AVENUE","10003","9176748956","Seafood","06/17/2025","Violations were cited in the following area(s).","28-06","Contract with a pest management professional not in place. Record of extermination activities not kept on premises.","Not Critical","32",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,72623962764","-73,98628282316","103","02","003800","1006243","1004470028","MN22","POINT (-73.986282823155 40.726239627638)"
"40366938","LULU'S COFFEE SHOP","Bronx","1191","CASTLE HILL AVENUE","10462","7188223568","Coffee/Tea","11/25/2025","Violations were cited in the following area(s).","04K","Evidence of rats or live rats in establishment's food or non-food areas.","Critical","37",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,8317070369","-73,8509993059","209","18","009200","2026488","2038110036","BX59","POINT (-73.850999305895 40.831707036899)"
"50039380","BK9","Brooklyn","62","5 AVENUE","11217","7187892176","Caribbean","06/08/2022","Violations were cited in the following area(s).","08A","Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.","Not Critical","29",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,68114160867","-73,97726412553","306","39","012901","3018546","3009320045","BK37","POINT (-73.977264125534 40.681141608665)"
"50004817","STARBUCKS","Queens",,"JFK INTERNATIONAL AIRPORT","11430","7186790536","Coffee/Tea","06/12/2025","Violations were cited in the following area(s).","04H","Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.","Critical","28",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,64831282607","-73,78828149759",,,,,,,"POINT (-73.788281497594 40.648312826068)"
"50101317","THE FLO KISS","Manhattan","1802","65 STREET TRANVERSE",,"6466453020",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"0","0",,,,,"1",,
"50154476","EDEN VALLEY GOLF LLC","0","10401",,,"6476321088",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,,,,,,,,,
"50177806","GOODNEIGHBORS NYC INCORPORATED","Manhattan","149","MULBERRY STREET","10013","5167284579",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,7189503192","-73,9974891881","102","01","004100","1003077","1002360021","MN24","POINT (-73.997489188097 40.718950319198)"
"50180021","M&C 1510 ELM AVE NY LLC","Brooklyn","1510","ELM AVENUE","11230","3127991997",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"40,61791352159","-73,95974397036","314","44","076800","3180966","3067440088","BK43","POINT (-73.959743970362 40.617913521592)"
"50097790","NATURAL BLEND","Brooklyn","302","NOSTRAND AVENUE","11216","7185134330","Vegetarian","08/16/2022","Violations were cited in the following area(s).","06D","Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.","Critical","12","A","08/16/2022","01/02/2026","Cycle Inspection / Re-inspection","40,68944199046","-73,95139265794","303","36","024300","3418153","3017880058","BK75","POINT (-73.951392657936 40.689441990455)"
"50077507","TSUKUSHI","Manhattan","357","EAST   50 STREET","10022","3476243660","Japanese","01/30/2023","Violations were cited in the following area(s).","10G","Dishwashing and ware washing:  Cleaning and sanitizing of tableware, including dishes, utensils, and equipment deficient.","Not Critical","27","Z","01/30/2023","01/02/2026","Cycle Inspection / Re-inspection","40,75432841493","-73,96721571288","106","04","009800","1039634","1013430122","MN19","POINT (-73.967215712875 40.754328414932)"
"41298603","THE SMITH","Manhattan","55","3 AVENUE","10003","2124209800","American","03/26/2024","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","27",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,73098834968","-73,98884001497","103","02","004000","1006807","1004667502","MN22","POINT (-73.988840014972 40.730988349684)"
"50111134","YUMMI BAKERY","Bronx","952","SOUTHERN BOULEVARD","10459","7188617532","Bakery Products/Desserts","08/30/2024","Violations were cited in the following area(s).","02B","Hot TCS food item not held at or above 140 °F.","Critical","46","C","08/30/2024","01/02/2026","Cycle Inspection / Re-inspection","40,82195663988","-73,89171193165","202","17","011900","2120371","2027420022","BX27","POINT (-73.891711931653 40.821956639875)"
"41089876","SARABETH'S","Manhattan","40","CENTRAL PARK SOUTH","10019","2128265959","American","11/25/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","15","B","11/25/2024","01/02/2026","Cycle Inspection / Re-inspection","40,76507882166","-73,97487081375","105","04","011201","1080443","1012740006","MN17","POINT (-73.974870813753 40.765078821657)"
"41611253","DUNKIN","Bronx","950","ALLERTON AVENUE","10469","7184508356","Donuts","08/07/2024","Violations were cited in the following area(s).","04L","Evidence of mice or live mice in establishment's food or non-food areas.","Critical","39",,,"01/02/2026","Cycle Inspection / Initial Inspection","40,8654943321","-73,85937628769","211","13","032600","2051712","2044470062","BX31","POINT (-73.859376287689 40.865494332101)"
"50166328","MUSTARD INDIAN EATERY","Manhattan","2113","FREDERICK DOUGLASS BOULEVARD",,"3474897465",,"01/01/1900",,,,"Not Applicable",,,,"01/02/2026",,"0","0",,,,,"1",,
