"inspection_year","area_name","inspection_count"
2015,"Queens","4"
2016,"Bronx","4"
2016,"Brooklyn","8"
2016,"Manhattan","26"
2016,"Queens","23"
2016,"Staten Island","5"
2017,"Bronx","3"
2017,"Brooklyn","16"
2017,"Manhattan","60"
2017,"Queens","33"
2017,"Staten Island","9"
2018,"Bronx","5"
2018,"Brooklyn","20"
2018,"Manhattan","58"
2018,"Queens","50"
2018,"Staten Island","16"
2019,"Bronx","12"
2019,"Brooklyn","82"
2019,"Manhattan","106"
2019,"Queens","78"
2020,"Bronx","2"
2020,"Brooklyn","10"
2020,"Manhattan","52"
2020,"Queens","15"
2021,"Bronx","36"
2021,"Brooklyn","270"
2021,"Manhattan","348"
2021,"Queens","179"
2021,"Staten Island","50"
2022,"Bronx","1197"
2022,"Brooklyn","4420"
2022,"Manhattan","6316"
2022,"Queens","3543"
2022,"Staten Island","652"
2023,"Bronx","2112"
2023,"Brooklyn","6183"
2023,"Manhattan","8882"
2023,"Queens","5382"
2023,"Staten Island","918"
2024,"Bronx","3110"
2024,"Brooklyn","8714"
2024,"Manhattan","11130"
2024,"Queens","7685"
2024,"Staten Island","1107"
2025,"Bronx","2860"
2025,"Brooklyn","7755"
2025,"Manhattan","11294"
2025,"Queens","8764"
2025,"Staten Island","1007"
