"inspection_year","area_name","avg_score"
2015,"Queens","21"
2016,"Bronx","15"
2016,"Brooklyn","15"
2016,"Manhattan","13"
2016,"Queens","11"
2016,"Staten Island","11"
2017,"Bronx","11"
2017,"Brooklyn","16"
2017,"Manhattan","15"
2017,"Queens","11"
2017,"Staten Island","20"
2018,"Bronx","21"
2018,"Brooklyn","17"
2018,"Manhattan","14"
2018,"Queens","16"
2018,"Staten Island","22"
2019,"Bronx","65"
2019,"Brooklyn","30"
2019,"Manhattan","19"
2019,"Queens","22"
2020,"Bronx","9"
2020,"Brooklyn","16"
2020,"Manhattan","20"
2020,"Queens","11"
2021,"Bronx","13"
2021,"Brooklyn","18"
2021,"Manhattan","18"
2021,"Queens","22"
2021,"Staten Island","19"
2022,"Bronx","19"
2022,"Brooklyn","21"
2022,"Manhattan","20"
2022,"Queens","20"
2022,"Staten Island","17"
2023,"Bronx","23"
2023,"Brooklyn","25"
2023,"Manhattan","23"
2023,"Queens","26"
2023,"Staten Island","21"
2024,"Bronx","27"
2024,"Brooklyn","27"
2024,"Manhattan","25"
2024,"Queens","28"
2024,"Staten Island","23"
2025,"Bronx","25"
2025,"Brooklyn","28"
2025,"Manhattan","27"
2025,"Queens","29"
2025,"Staten Island","24"


Titolo: evoluzione media dei punteggi per area nel corso degli anni
Titolo asse X: anno
Titolo asse Y: punteggio medio annuale
Non considerare gli header delle colonne per i titoli
La legenda deve stare tutta all'interno di una stessa riga
